Epoch,Accuracy,Precision,Recall,F1-Score
1,0.703,0.683,0.673,0.678
2,0.755,0.735,0.725,0.73
3,0.812,0.792,0.782,0.787
4,0.839,0.819,0.809,0.814
5,0.88,0.86,0.85,0.855
6,0.912,0.892,0.882,0.887
7,0.919,0.899,0.889,0.894
8,0.95,0.93,0.92,0.925
9,0.952,0.932,0.922,0.927
10,0.964,0.944,0.934,0.939
11,0.968,0.948,0.938,0.943
12,0.999,0.979,0.969,0.974
13,0.984,0.964,0.954,0.959
14,0.977,0.957,0.947,0.952
15,0.999,0.979,0.969,0.974
16,0.98,0.96,0.95,0.955
17,0.996,0.976,0.966,0.971
18,0.976,0.956,0.946,0.951
19,0.983,0.963,0.953,0.958
20,0.999,0.979,0.969,0.974
